,barrio,Con muertos,Atropello,Ciclo Ruta,Glorieta,Interseccion,Lote o Predio,Paso Elevado,Paso Inferior,Paso a Nivel,Pontón,Puente,Tramo de via,Tunel,Via peatonal,cluster
285,López de Mesa,0.0,94.0,5.0,65.0,132.0,174.0,0.0,0.0,1.0,0.0,0.0,636.0,0.0,0.0,2
286,Manila,1.0,66.0,5.0,323.0,255.0,141.0,62.0,5.0,1.0,0.0,34.0,1360.0,0.0,1.0,2
287,Manrique Central No. 1,3.0,101.0,2.0,0.0,365.0,121.0,0.0,0.0,0.0,0.0,1.0,776.0,0.0,0.0,2
288,Manrique Central No. 2,2.0,103.0,5.0,0.0,169.0,102.0,1.0,0.0,0.0,0.0,0.0,516.0,0.0,0.0,1
289,Manrique Central No.1,0.0,3.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,3
290,Manrique Central No.2,0.0,3.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,3
291,Manrique Oriental,2.0,160.0,7.0,0.0,200.0,115.0,0.0,0.0,0.0,0.0,0.0,728.0,1.0,0.0,2
292,María Cano Carambolas,0.0,33.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,3
293,Media Luna,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3
294,Metropolitano,0.0,6.0,1.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,3
295,Mirador del Doce,0.0,11.0,0.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,3
296,Miraflores,0.0,56.0,1.0,0.0,240.0,76.0,0.0,0.0,0.0,0.0,0.0,391.0,0.0,0.0,1
297,Miranda,4.0,156.0,4.0,0.0,330.0,118.0,1.0,1.0,0.0,0.0,1.0,730.0,0.0,0.0,2
298,Miravalle,0.0,8.0,1.0,0.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,3
299,Monteclaro,0.0,15.0,0.0,0.0,3.0,26.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,3
300,Moravia,2.0,218.0,2.0,22.0,125.0,134.0,6.0,6.0,0.0,0.0,6.0,1062.0,0.0,1.0,2
301,Moscú No. 1,0.0,79.0,3.0,0.0,57.0,51.0,1.0,0.0,0.0,0.0,2.0,282.0,0.0,0.0,1
302,Moscú No. 2,2.0,105.0,1.0,0.0,47.0,73.0,0.0,0.0,0.0,0.0,1.0,279.0,0.0,0.0,1
303,Moscú No.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3
304,Moscú No.2,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,3
305,Naranjal,4.0,167.0,12.0,2.0,375.0,303.0,20.0,18.0,1.0,0.0,44.0,2456.0,1.0,1.0,0
306,Nueva Villa de Aburrá,0.0,18.0,1.0,0.0,44.0,15.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,1
307,Nueva Villa de La Iguaná,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3
308,Nueva Villa de la Iguaná,0.0,31.0,5.0,1.0,108.0,36.0,0.0,0.0,0.0,0.0,5.0,403.0,0.0,0.0,1
309,Nuevos Conquistadores,0.0,26.0,0.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,3
310,Ocho de Marzo,0.0,12.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,3
311,Olaya Herrera,3.0,55.0,0.0,1.0,9.0,48.0,0.0,0.0,0.0,0.0,2.0,187.0,0.0,0.0,1
312,Oleoducto,7.0,52.0,1.0,0.0,36.0,73.0,26.0,0.0,0.0,0.0,41.0,996.0,0.0,0.0,2
313,Oriente,0.0,31.0,0.0,0.0,6.0,28.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,3
314,Pablo VI,0.0,38.0,0.0,0.0,8.0,14.0,0.0,0.0,0.0,1.0,0.0,86.0,0.0,0.0,3
315,Pajarito,0.0,11.0,0.0,0.0,25.0,46.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,3
316,Palenque,0.0,28.0,3.0,0.0,58.0,40.0,0.0,0.0,1.0,0.0,1.0,232.0,0.0,0.0,1
317,Palermo,0.0,89.0,1.0,37.0,64.0,43.0,11.0,1.0,0.0,0.0,17.0,374.0,0.0,0.0,1
318,Palmitas Sector Central,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3
319,Parque Juan Pablo II,3.0,42.0,2.0,73.0,139.0,81.0,0.0,0.0,0.0,0.0,0.0,716.0,0.0,0.0,2
320,Parque Norte,1.0,27.0,0.0,0.0,46.0,17.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,1
321,Patio Bonito,4.0,41.0,7.0,5.0,163.0,52.0,7.0,1.0,1.0,0.0,8.0,956.0,0.0,0.0,2
322,Pedregal,1.0,187.0,2.0,11.0,199.0,175.0,0.0,0.0,0.0,0.0,0.0,654.0,0.0,0.0,2
323,Pedregal Alto,0.0,2.0,0.0,0.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,3
324,Pedregal Bajo,0.0,3.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,3
325,Perpetuo Socorro,9.0,198.0,23.0,124.0,1019.0,299.0,77.0,6.0,6.0,2.0,70.0,3452.0,2.0,0.0,0
326,Picachito,0.0,17.0,2.0,0.0,12.0,28.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,3
327,Picacho,1.0,155.0,2.0,0.0,91.0,194.0,0.0,2.0,0.0,0.0,0.0,610.0,0.0,0.0,2
328,Piedras Blancas,1.0,40.0,1.0,0.0,3.0,30.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,3
329,Piedras Blancas - Matasano,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
330,Piedras Blancas Represa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3
331,Playón de Los Comuneros,1.0,72.0,2.0,0.0,73.0,38.0,0.0,0.0,0.0,0.0,1.0,279.0,0.0,0.0,1
332,Plaza de Ferias,1.0,8.0,0.0,0.0,25.0,7.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,3
333,Popular,0.0,138.0,3.0,0.0,37.0,107.0,0.0,0.0,0.0,0.0,0.0,386.0,0.0,0.0,1
334,Potrerito,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3
335,Prado,5.0,183.0,8.0,9.0,906.0,185.0,0.0,2.0,0.0,0.0,0.0,1225.0,0.0,0.0,2
336,Robledo,3.0,99.0,2.0,0.0,161.0,197.0,1.0,0.0,0.0,1.0,0.0,875.0,0.0,0.0,2
337,Rosales,2.0,87.0,4.0,7.0,542.0,109.0,11.0,5.0,0.0,0.0,1.0,1071.0,0.0,2.0,2
338,SUBURB El Plan,0.0,6.0,0.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,0.0,3
339,San Antonio,0.0,9.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,3
340,San Benito,14.0,404.0,8.0,8.0,555.0,256.0,14.0,11.0,5.0,1.0,17.0,2646.0,1.0,1.0,0
341,San Bernardo,3.0,123.0,4.0,0.0,318.0,110.0,0.0,0.0,0.0,2.0,1.0,834.0,0.0,0.0,2
342,San Diego,3.0,160.0,6.0,228.0,363.0,301.0,74.0,1.0,1.0,0.0,15.0,2276.0,0.0,0.0,0
343,San Germán,1.0,89.0,8.0,4.0,149.0,69.0,3.0,2.0,1.0,0.0,6.0,801.0,0.0,0.0,2
344,San Isidro,0.0,177.0,6.0,17.0,290.0,164.0,5.0,0.0,0.0,0.0,9.0,735.0,0.0,0.0,2
345,San Javier No.1,0.0,104.0,1.0,45.0,191.0,93.0,1.0,0.0,0.0,0.0,0.0,475.0,0.0,0.0,1
346,San Javier No.2,1.0,69.0,1.0,1.0,65.0,30.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,0.0,1
347,San Joaquín,0.0,39.0,1.0,1.0,141.0,43.0,1.0,1.0,0.0,0.0,0.0,466.0,0.0,1.0,1
348,San Jose Del Manzanillo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3
349,San José de la Montaña,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3
350,San José la Cima No. 1,0.0,14.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,3
351,San José la Cima No.2,0.0,4.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3
352,San Lucas,0.0,10.0,2.0,7.0,37.0,42.0,0.0,1.0,0.0,0.0,0.0,236.0,0.0,0.0,1
353,San Martín de Porres,1.0,119.0,6.0,0.0,115.0,142.0,0.0,0.0,0.0,0.0,0.0,468.0,0.0,0.0,1
354,San Miguel,0.0,81.0,1.0,0.0,394.0,109.0,0.0,1.0,0.0,0.0,0.0,468.0,0.0,1.0,1
355,San Pablo,0.0,99.0,0.0,0.0,46.0,68.0,0.0,0.0,0.0,0.0,0.0,284.0,0.0,0.0,1
356,San Pedro,1.0,107.0,5.0,86.0,265.0,70.0,0.0,0.0,0.0,0.0,0.0,586.0,0.0,0.0,2
357,Santa Cruz,1.0,90.0,3.0,2.0,63.0,49.0,0.0,0.0,0.0,0.0,0.0,269.0,0.0,0.0,1
358,Santa Elena Sector Central,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3
359,Santa Fé,8.0,229.0,18.0,134.0,564.0,279.0,21.0,1.0,1.0,1.0,8.0,2942.0,0.0,0.0,0
360,Santa Inés,0.0,121.0,4.0,2.0,98.0,113.0,0.0,1.0,0.0,0.0,0.0,432.0,0.0,0.0,1
361,Santa Lucía,0.0,45.0,0.0,0.0,63.0,21.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,1
362,Santa Margarita,1.0,38.0,1.0,0.0,36.0,70.0,1.0,1.0,1.0,0.0,3.0,272.0,0.0,0.0,1
363,Santa María de Los Ángeles,1.0,4.0,1.0,0.0,26.0,22.0,1.0,2.0,1.0,0.0,0.0,206.0,0.0,0.0,1
364,Santa María de los Ángeles,0.0,36.0,7.0,0.0,92.0,78.0,6.0,0.0,0.0,0.0,19.0,796.0,0.0,0.0,2
365,Santa Mónica,1.0,23.0,1.0,0.0,156.0,42.0,0.0,0.0,0.0,0.0,0.0,231.0,0.0,0.0,1
366,Santa Rosa de Lima,0.0,5.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,3
367,Santa Teresita,0.0,23.0,1.0,1.0,131.0,32.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,1
368,Santander,1.0,149.0,3.0,0.0,95.0,115.0,0.0,0.0,0.0,0.0,0.0,487.0,0.0,0.0,1
369,Santo Domingo Savio No. 1,0.0,190.0,0.0,0.0,35.0,114.0,0.0,0.0,0.0,0.0,0.0,418.0,0.0,1.0,1
